K,Alpha,Accuracy,Precision,Recall,F1 score
21,0.50000,0.82895,0.84235,0.81686,0.82099
21,0.60000,0.83280,0.84840,0.82033,0.82464
21,0.80000,0.82919,0.84731,0.81538,0.81942
22,0.20000,0.83682,0.84892,0.82579,0.82968
22,0.40000,0.83682,0.84703,0.82662,0.83006
22,0.50000,0.83676,0.84909,0.82563,0.82931
22,0.60000,0.84452,0.85798,0.83357,0.83749
22,0.80000,0.82523,0.83869,0.81369,0.81655
23,0.20000,0.82913,0.84674,0.81617,0.82015
23,0.40000,0.83682,0.85577,0.82396,0.82834
23,0.50000,0.84452,0.86169,0.83258,0.83673
23,0.60000,0.84452,0.85798,0.83357,0.83749
23,0.80000,0.84079,0.86119,0.82768,0.83159
24,0.20000,0.83286,0.84481,0.82222,0.82578
24,0.40000,0.83292,0.84316,0.82231,0.82591
24,0.50000,0.83676,0.84617,0.82662,0.83007
24,0.60000,0.83676,0.84617,0.82662,0.83007
24,0.80000,0.84061,0.85642,0.82926,0.83280
25,0.20000,0.83304,0.84928,0.82064,0.82471
25,0.40000,0.82913,0.84650,0.81633,0.82023
25,0.50000,0.84452,0.86169,0.83258,0.83673
25,0.60000,0.84452,0.86169,0.83258,0.83673
25,0.80000,0.84067,0.86288,0.82743,0.83164
26,0.20000,0.83304,0.84708,0.82148,0.82518
26,0.40000,0.84067,0.85498,0.82926,0.83333
26,0.50000,0.84452,0.86169,0.83258,0.83673
26,0.60000,0.84452,0.86169,0.83258,0.83673
26,0.80000,0.83292,0.84942,0.82048,0.82422
27,0.20000,0.83682,0.85996,0.82312,0.82741
27,0.40000,0.83298,0.85711,0.81881,0.82311
27,0.50000,0.83682,0.85950,0.82312,0.82772
27,0.60000,0.83298,0.85711,0.81881,0.82311
27,0.80000,0.83682,0.85996,0.82312,0.82741
28,0.20000,0.83292,0.84650,0.82148,0.82499
28,0.40000,0.83676,0.85580,0.82396,0.82825
28,0.50000,0.84067,0.86235,0.82743,0.83202
28,0.60000,0.83682,0.85625,0.82411,0.82817
28,0.80000,0.84067,0.85917,0.82842,0.83240
29,0.20000,0.82907,0.84764,0.81633,0.82011
29,0.40000,0.82907,0.85056,0.81534,0.81934
29,0.50000,0.83682,0.85996,0.82312,0.82741
29,0.60000,0.83682,0.85625,0.82411,0.82817
29,0.80000,0.83682,0.85625,0.82411,0.82817
