K,Alpha,Accuracy,Precision,Recall,F1 score
21,0.50000,0.89659,0.91731,0.86826,0.88349
21,0.60000,0.89659,0.91681,0.86826,0.88352
21,0.80000,0.89039,0.91070,0.86116,0.87627
22,0.20000,0.89662,0.91854,0.86717,0.88337
22,0.40000,0.89455,0.91984,0.86338,0.88017
22,0.50000,0.89245,0.91639,0.86165,0.87805
22,0.60000,0.89244,0.91910,0.86054,0.87774
22,0.80000,0.89039,0.91503,0.85893,0.87556
23,0.20000,0.90280,0.92274,0.87538,0.89090
23,0.40000,0.89867,0.91765,0.87100,0.88621
23,0.50000,0.89450,0.91284,0.86655,0.88160
23,0.60000,0.89245,0.91145,0.86384,0.87886
23,0.80000,0.89039,0.91272,0.86005,0.87583
24,0.20000,0.89452,0.91724,0.86439,0.88102
24,0.40000,0.89037,0.91222,0.86001,0.87635
24,0.50000,0.89032,0.91236,0.85993,0.87621
24,0.60000,0.88827,0.91107,0.85721,0.87362
24,0.80000,0.88830,0.91358,0.85616,0.87313
25,0.20000,0.89657,0.91437,0.86933,0.88407
25,0.40000,0.89657,0.91437,0.86933,0.88407
25,0.50000,0.89240,0.90962,0.86489,0.87949
25,0.60000,0.89035,0.91070,0.86110,0.87645
25,0.80000,0.89037,0.91262,0.85999,0.87604
26,0.20000,0.89034,0.91009,0.86106,0.87657
26,0.40000,0.88830,0.91079,0.85729,0.87366
26,0.50000,0.89450,0.91736,0.86443,0.88089
26,0.60000,0.89245,0.91630,0.86171,0.87825
26,0.80000,0.89247,0.91847,0.86060,0.87790
27,0.20000,0.89449,0.91291,0.86655,0.88150
27,0.40000,0.89867,0.91778,0.87106,0.88612
27,0.50000,0.89450,0.91303,0.86661,0.88154
27,0.60000,0.88832,0.90873,0.85840,0.87401
27,0.80000,0.89870,0.92255,0.86887,0.88523
28,0.20000,0.89452,0.91737,0.86445,0.88076
28,0.40000,0.89042,0.91455,0.85902,0.87563
28,0.50000,0.89247,0.91613,0.86177,0.87815
28,0.60000,0.89454,0.91974,0.86338,0.88045
28,0.80000,0.89251,0.91856,0.86066,0.87766
29,0.20000,0.90074,0.92144,0.87266,0.88822
29,0.40000,0.89660,0.91646,0.86834,0.88356
29,0.50000,0.89251,0.91363,0.86291,0.87844
29,0.60000,0.89870,0.92253,0.86893,0.88523
29,0.80000,0.89455,0.91981,0.86338,0.88034
