K,Alpha,Accuracy,Precision,Recall,F1 score
21,0.50000,0.81735,0.79385,0.78873,0.78959
21,0.60000,0.80971,0.78602,0.77709,0.77953
21,0.80000,0.80609,0.78224,0.77743,0.77767
22,0.20000,0.82481,0.80655,0.78501,0.79128
22,0.40000,0.82509,0.80661,0.78873,0.79507
22,0.50000,0.82125,0.80062,0.78589,0.79139
22,0.60000,0.81361,0.79185,0.77709,0.78216
22,0.80000,0.80983,0.78903,0.77141,0.77758
23,0.20000,0.82102,0.79997,0.78528,0.78960
23,0.40000,0.82113,0.79821,0.79157,0.79337
23,0.50000,0.81367,0.79011,0.78616,0.78664
23,0.60000,0.81740,0.79465,0.78589,0.78873
23,0.80000,0.81367,0.79188,0.78020,0.78411
24,0.20000,0.82102,0.79997,0.78528,0.78960
24,0.40000,0.82492,0.80470,0.78839,0.79430
24,0.50000,0.81361,0.79209,0.77709,0.78210
24,0.60000,0.82509,0.80562,0.79157,0.79614
24,0.80000,0.80994,0.78959,0.77141,0.77740
25,0.20000,0.82871,0.80814,0.79719,0.80076
25,0.40000,0.82877,0.80764,0.80030,0.80240
25,0.50000,0.81740,0.79465,0.78589,0.78873
25,0.60000,0.80983,0.78626,0.78020,0.78123
25,0.80000,0.80610,0.78341,0.77763,0.77866
26,0.20000,0.83261,0.81531,0.79719,0.80368
26,0.40000,0.82113,0.79999,0.78555,0.79046
26,0.50000,0.81729,0.79603,0.77960,0.78484
26,0.60000,0.81735,0.79839,0.77960,0.78484
26,0.80000,0.80977,0.79238,0.77108,0.77675
27,0.20000,0.82883,0.81060,0.79435,0.79984
27,0.40000,0.82504,0.80369,0.79462,0.79764
27,0.50000,0.82119,0.79984,0.78866,0.79223
27,0.60000,0.82125,0.80220,0.78866,0.79234
27,0.80000,0.80592,0.78393,0.77419,0.77597
28,0.20000,0.82492,0.80745,0.78528,0.79245
28,0.40000,0.82113,0.80274,0.78244,0.78861
28,0.50000,0.82113,0.80315,0.78244,0.78825
28,0.60000,0.82883,0.81060,0.79435,0.79984
28,0.80000,0.81752,0.80001,0.77987,0.78558
29,0.20000,0.82492,0.80745,0.78528,0.79245
29,0.40000,0.82510,0.80505,0.79462,0.79753
29,0.50000,0.82108,0.79857,0.79150,0.79331
29,0.60000,0.82492,0.80377,0.79746,0.79901
29,0.80000,0.81752,0.79822,0.78298,0.78745
