K,Alpha,Accuracy,Precision,Recall,F1 score
21,0.50000,0.79834,0.77707,0.77244,0.77242
21,0.60000,0.80208,0.77869,0.77467,0.77521
21,0.80000,0.79840,0.77637,0.75994,0.76377
22,0.20000,0.80948,0.79198,0.78802,0.78576
22,0.40000,0.80225,0.77925,0.77775,0.77680
22,0.50000,0.80225,0.77719,0.77403,0.77374
22,0.60000,0.79840,0.77353,0.77006,0.76935
22,0.80000,0.80219,0.77772,0.77730,0.77628
23,0.20000,0.80552,0.78390,0.78115,0.77990
23,0.40000,0.79834,0.77675,0.77244,0.77273
23,0.50000,0.80225,0.77737,0.77403,0.77424
23,0.60000,0.79467,0.76891,0.76121,0.76258
23,0.80000,0.78325,0.75864,0.74943,0.75050
24,0.20000,0.79806,0.77466,0.77385,0.77084
24,0.40000,0.80213,0.77744,0.77602,0.77494
24,0.50000,0.80609,0.78435,0.78289,0.78049
24,0.60000,0.80230,0.77917,0.77519,0.77334
24,0.80000,0.79082,0.76709,0.76353,0.76378
25,0.20000,0.80190,0.77819,0.77538,0.77484
25,0.40000,0.81344,0.79259,0.79217,0.78974
25,0.50000,0.80213,0.78141,0.77629,0.77474
25,0.60000,0.80609,0.78693,0.78154,0.78094
25,0.80000,0.79456,0.77467,0.77104,0.77021
26,0.20000,0.79432,0.76905,0.76762,0.76573
26,0.40000,0.80202,0.77816,0.78044,0.77559
26,0.50000,0.80586,0.78183,0.78441,0.78023
26,0.60000,0.79834,0.77630,0.77949,0.77470
26,0.80000,0.77923,0.75490,0.75244,0.75075
27,0.20000,0.80202,0.77619,0.77556,0.77496
27,0.40000,0.80586,0.78101,0.78441,0.78056
27,0.50000,0.80581,0.78302,0.78179,0.77914
27,0.60000,0.78692,0.76278,0.76026,0.75774
27,0.80000,0.79433,0.77437,0.76912,0.76892
28,0.20000,0.79432,0.76742,0.76762,0.76533
28,0.40000,0.80202,0.77816,0.78044,0.77559
28,0.50000,0.80948,0.78959,0.78802,0.78484
28,0.60000,0.79823,0.77647,0.77687,0.77379
28,0.80000,0.80208,0.78421,0.77950,0.77815
29,0.20000,0.80190,0.77875,0.77910,0.77686
29,0.40000,0.80190,0.77888,0.77736,0.77338
29,0.50000,0.80948,0.78821,0.78512,0.78274
29,0.60000,0.79433,0.77611,0.77156,0.76948
29,0.80000,0.80196,0.78900,0.78304,0.78085
