K,Alpha,Accuracy,Precision,Recall,F1 score
21,0.50000,0.85806,0.84878,0.84770,0.84703
21,0.60000,0.83479,0.82679,0.81645,0.81932
21,0.80000,0.83474,0.84282,0.80220,0.81297
22,0.20000,0.84610,0.83686,0.84478,0.83698
22,0.40000,0.85860,0.84822,0.85440,0.84906
22,0.50000,0.85806,0.85039,0.85371,0.84890
22,0.60000,0.84616,0.83676,0.83808,0.83575
22,0.80000,0.82343,0.81704,0.80082,0.80487
23,0.20000,0.86997,0.86354,0.85731,0.85863
23,0.40000,0.88187,0.88259,0.86693,0.87073
23,0.50000,0.88187,0.88259,0.86693,0.87073
23,0.60000,0.85860,0.86585,0.83568,0.84236
23,0.80000,0.78766,0.78112,0.75172,0.75853
24,0.20000,0.88187,0.87402,0.87294,0.87228
24,0.40000,0.88187,0.87402,0.87294,0.87228
24,0.50000,0.86997,0.86106,0.86332,0.86046
24,0.60000,0.83425,0.82653,0.82847,0.82460
24,0.80000,0.81153,0.80454,0.78520,0.78933
25,0.20000,0.84670,0.84345,0.82606,0.83057
25,0.40000,0.85860,0.86585,0.83568,0.84236
25,0.50000,0.87051,0.87262,0.85130,0.85735
25,0.60000,0.85860,0.86585,0.83568,0.84236
25,0.80000,0.79957,0.80026,0.76133,0.77066
26,0.20000,0.83534,0.82584,0.82916,0.82435
26,0.40000,0.87051,0.86405,0.85731,0.85890
26,0.50000,0.87051,0.87262,0.85130,0.85735
26,0.60000,0.84670,0.84345,0.82606,0.83057
26,0.80000,0.83534,0.83371,0.81044,0.81612
27,0.20000,0.85860,0.85109,0.84770,0.84708
27,0.40000,0.84724,0.85610,0.82005,0.82791
27,0.50000,0.84724,0.85610,0.82005,0.82791
27,0.60000,0.84724,0.85610,0.82005,0.82791
27,0.80000,0.81201,0.82293,0.77095,0.78266
28,0.20000,0.85860,0.85109,0.84770,0.84708
28,0.40000,0.85860,0.86585,0.83568,0.84236
28,0.50000,0.84724,0.85610,0.82005,0.82791
28,0.60000,0.84724,0.85610,0.82005,0.82791
28,0.80000,0.83588,0.84635,0.80443,0.81346
29,0.20000,0.85860,0.86585,0.83568,0.84236
29,0.40000,0.84724,0.85610,0.82005,0.82791
29,0.50000,0.83588,0.84596,0.80443,0.81205
29,0.60000,0.81201,0.82293,0.77095,0.78266
29,0.80000,0.79951,0.80943,0.75309,0.76638
