K,Accuracy,Precision,F1 score
1,1.00000,1.00000,1.00000
2,0.99167,0.99333,0.99153
3,1.00000,1.00000,1.00000
4,0.99167,0.99333,0.99153
5,1.00000,1.00000,1.00000
6,0.99167,0.99333,0.99153
7,1.00000,1.00000,1.00000
8,0.99167,0.99333,0.99153
9,0.99333,0.99444,0.99327
10,0.97667,0.98111,0.97633
11,0.99333,0.99444,0.99327
12,0.97667,0.98111,0.97633
13,0.99333,0.99444,0.99327
14,0.97667,0.98111,0.97633
