K,Alpha,Accuracy,Precision,Recall,F1 score
21,0.50000,0.85860,0.87798,0.82074,0.83692
21,0.60000,0.84670,0.87200,0.80512,0.82036
21,0.80000,0.84670,0.88849,0.79842,0.81545
22,0.20000,0.84724,0.85908,0.81181,0.82518
22,0.40000,0.85860,0.87798,0.82074,0.83692
22,0.50000,0.86997,0.88772,0.83637,0.85137
22,0.60000,0.85806,0.86533,0.82675,0.83957
22,0.80000,0.86997,0.88772,0.83637,0.85137
23,0.20000,0.82289,0.87843,0.76717,0.77535
23,0.40000,0.83479,0.88318,0.78280,0.79680
23,0.50000,0.83420,0.87719,0.78056,0.79866
23,0.60000,0.83420,0.86069,0.78726,0.80357
23,0.80000,0.84610,0.86667,0.80288,0.82013
24,0.20000,0.83479,0.88318,0.78280,0.79680
24,0.40000,0.85806,0.89421,0.81405,0.83180
24,0.50000,0.86997,0.88772,0.83637,0.85137
24,0.60000,0.88187,0.89449,0.85199,0.86636
24,0.80000,0.85915,0.86585,0.82744,0.84017
25,0.20000,0.79843,0.85294,0.73146,0.74642
25,0.40000,0.79843,0.85294,0.73146,0.74642
25,0.50000,0.80979,0.85866,0.74708,0.76276
25,0.60000,0.83420,0.87647,0.78056,0.80026
25,0.80000,0.81034,0.85825,0.74708,0.76506
26,0.20000,0.83479,0.88247,0.78280,0.79840
26,0.40000,0.82170,0.86397,0.76271,0.78141
26,0.50000,0.84610,0.88244,0.79619,0.81681
26,0.60000,0.84610,0.88244,0.79619,0.81681
26,0.80000,0.84610,0.86667,0.80288,0.82013
27,0.20000,0.76207,0.80616,0.68012,0.68087
27,0.40000,0.78593,0.83701,0.71360,0.72479
27,0.50000,0.80979,0.85866,0.74708,0.76276
27,0.60000,0.78593,0.83701,0.71360,0.72479
27,0.80000,0.81261,0.86999,0.75000,0.76651
28,0.20000,0.81034,0.85825,0.74708,0.76506
28,0.40000,0.82229,0.87116,0.76494,0.78161
28,0.50000,0.80979,0.85271,0.75532,0.76991
28,0.60000,0.82170,0.85802,0.77095,0.78856
28,0.80000,0.80011,0.84342,0.74038,0.75400
29,0.20000,0.75016,0.80141,0.66449,0.65941
29,0.40000,0.79957,0.88091,0.72545,0.73965
29,0.50000,0.79957,0.88091,0.72545,0.73965
29,0.60000,0.76266,0.82714,0.68235,0.68486
29,0.80000,0.81147,0.88622,0.74107,0.75830
