K,Alpha,Accuracy,Precision,Recall,F1 score
21,0.50000,0.83420,0.82766,0.82246,0.82050
21,0.60000,0.86997,0.86354,0.85731,0.85863
21,0.80000,0.85860,0.86604,0.83499,0.84224
22,0.20000,0.83420,0.82619,0.83516,0.82543
22,0.40000,0.85747,0.84970,0.85371,0.84837
22,0.50000,0.84556,0.83741,0.83808,0.83495
22,0.60000,0.84556,0.83741,0.83808,0.83495
22,0.80000,0.85860,0.85379,0.84169,0.84418
23,0.20000,0.88187,0.87402,0.87294,0.87228
23,0.40000,0.85806,0.85342,0.84169,0.84394
23,0.50000,0.85806,0.85342,0.84169,0.84394
23,0.60000,0.85806,0.85342,0.84169,0.84394
23,0.80000,0.85801,0.85956,0.83345,0.84133
24,0.20000,0.88187,0.87402,0.87294,0.87228
24,0.40000,0.88187,0.87402,0.87294,0.87228
24,0.50000,0.88187,0.87402,0.87294,0.87228
24,0.60000,0.86997,0.86106,0.86332,0.86046
24,0.80000,0.87051,0.87284,0.85130,0.85628
25,0.20000,0.84670,0.84345,0.82606,0.83057
25,0.40000,0.85860,0.85357,0.84169,0.84525
25,0.50000,0.88241,0.88036,0.86693,0.87117
25,0.60000,0.87051,0.87262,0.85130,0.85735
25,0.80000,0.82284,0.83685,0.78657,0.79641
26,0.20000,0.85860,0.84648,0.85440,0.84928
26,0.40000,0.88187,0.87402,0.87294,0.87228
26,0.50000,0.87051,0.86405,0.85731,0.85890
26,0.60000,0.87051,0.86405,0.85731,0.85890
26,0.80000,0.84724,0.85610,0.82005,0.82791
27,0.20000,0.87051,0.86405,0.85731,0.85890
27,0.40000,0.88241,0.88036,0.86693,0.87117
27,0.50000,0.88241,0.88036,0.86693,0.87117
27,0.60000,0.88241,0.88036,0.86693,0.87117
27,0.80000,0.83588,0.84596,0.80443,0.81205
28,0.20000,0.87051,0.86405,0.85731,0.85890
28,0.40000,0.87051,0.86405,0.85731,0.85890
28,0.50000,0.87051,0.86405,0.85731,0.85890
28,0.60000,0.88241,0.88036,0.86693,0.87117
28,0.80000,0.85915,0.86287,0.83568,0.84290
29,0.20000,0.85915,0.86287,0.83568,0.84290
29,0.40000,0.85915,0.86287,0.83568,0.84290
29,0.50000,0.85915,0.86287,0.83568,0.84290
29,0.60000,0.82451,0.83440,0.78880,0.79435
29,0.80000,0.80124,0.83691,0.74107,0.75633
