,Accuracy,Precision,F1 score
0,0.7333333333333333,0.746031746031746,0.7222222222222222
1,0.8666666666666667,0.8666666666666667,0.8666666666666668
2,0.8666666666666667,0.8666666666666667,0.8666666666666668
3,0.8666666666666667,0.8666666666666667,0.8666666666666668
4,0.9333333333333333,0.9444444444444445,0.9326599326599326
5,0.9333333333333333,0.9444444444444445,0.9326599326599326
6,0.9333333333333333,0.9444444444444445,0.9326599326599326
7,0.9333333333333333,0.9444444444444445,0.9326599326599326
8,0.9333333333333333,0.9444444444444445,0.9326599326599326
9,0.9333333333333333,0.9444444444444445,0.9326599326599326
10,0.9333333333333333,0.9444444444444445,0.9326599326599326
11,0.9333333333333333,0.9444444444444445,0.9326599326599326
12,0.9333333333333333,0.9444444444444445,0.9326599326599326
13,0.9333333333333333,0.9444444444444445,0.9326599326599326
14,0.9333333333333333,0.9444444444444445,0.9326599326599326
15,0.8,0.8055555555555555,0.7979797979797979
16,0.8,0.8055555555555555,0.7979797979797979
17,0.9333333333333333,0.9444444444444445,0.9326599326599326
18,0.9333333333333333,0.9444444444444445,0.9326599326599326
19,0.9333333333333333,0.9444444444444445,0.9326599326599326
20,0.9333333333333333,0.9444444444444445,0.9326599326599326
21,0.9333333333333333,0.9444444444444445,0.9326599326599326
22,0.9333333333333333,0.9444444444444445,0.9326599326599326
23,0.9333333333333333,0.9444444444444445,0.9326599326599326
24,0.9333333333333333,0.9444444444444445,0.9326599326599326
25,0.9333333333333333,0.9444444444444445,0.9326599326599326
26,0.9333333333333333,0.9444444444444445,0.9326599326599326
27,0.9333333333333333,0.9444444444444445,0.9326599326599326
28,0.9333333333333333,0.9444444444444445,0.9326599326599326
29,0.9333333333333333,0.9444444444444445,0.9326599326599326
30,0.9285714285714286,0.9333333333333332,0.9259259259259259
31,0.9285714285714286,0.9333333333333332,0.9259259259259259
32,1.0,1.0,1.0
33,0.9285714285714286,0.9333333333333332,0.9259259259259259
34,1.0,1.0,1.0
35,1.0,1.0,1.0
36,1.0,1.0,1.0
37,0.9285714285714286,0.9333333333333332,0.9259259259259259
38,0.9285714285714286,0.9333333333333332,0.9259259259259259
39,0.9285714285714286,0.9333333333333332,0.9259259259259259
40,0.9285714285714286,0.9333333333333332,0.9259259259259259
41,0.9285714285714286,0.9333333333333332,0.9259259259259259
42,0.9285714285714286,0.9333333333333332,0.9259259259259259
43,0.9285714285714286,0.9333333333333332,0.9259259259259259
44,0.9285714285714286,0.9333333333333332,0.9259259259259259
45,0.9285714285714286,0.9333333333333332,0.9259259259259259
46,0.9285714285714286,0.9333333333333332,0.9259259259259259
47,0.9285714285714286,0.9333333333333332,0.9259259259259259
48,0.9285714285714286,0.9333333333333332,0.9259259259259259
49,0.9285714285714286,0.9333333333333332,0.9259259259259259
50,0.9285714285714286,0.9333333333333332,0.9259259259259259
51,0.9285714285714286,0.9333333333333332,0.9259259259259259
52,0.9285714285714286,0.9333333333333332,0.9259259259259259
53,0.9285714285714286,0.9333333333333332,0.9259259259259259
54,0.9285714285714286,0.9333333333333332,0.9259259259259259
55,0.9285714285714286,0.9333333333333332,0.9259259259259259
56,0.9285714285714286,0.9333333333333332,0.9259259259259259
57,0.9285714285714286,0.9333333333333332,0.9259259259259259
58,0.9285714285714286,0.9333333333333332,0.9259259259259259
59,0.9285714285714286,0.9333333333333332,0.9259259259259259
60,0.7857142857142857,0.7777777777777777,0.7662337662337663
61,0.7857142857142857,0.7777777777777777,0.7662337662337663
62,0.8571428571428571,0.9047619047619048,0.8333333333333334
63,0.8571428571428571,0.9047619047619048,0.8333333333333334
64,0.8571428571428571,0.9047619047619048,0.8333333333333334
65,0.8571428571428571,0.9047619047619048,0.8333333333333334
66,0.8571428571428571,0.9047619047619048,0.8333333333333334
67,0.8571428571428571,0.9047619047619048,0.8333333333333334
68,0.8571428571428571,0.9047619047619048,0.8333333333333334
69,0.8571428571428571,0.9047619047619048,0.8333333333333334
70,0.8571428571428571,0.9047619047619048,0.8333333333333334
71,0.8571428571428571,0.9047619047619048,0.8333333333333334
72,0.8571428571428571,0.9047619047619048,0.8333333333333334
73,0.8571428571428571,0.9047619047619048,0.8333333333333334
74,0.8571428571428571,0.9047619047619048,0.8333333333333334
75,1.0,1.0,1.0
76,1.0,1.0,1.0
77,1.0,1.0,1.0
78,1.0,1.0,1.0
79,1.0,1.0,1.0
80,1.0,1.0,1.0
81,1.0,1.0,1.0
82,1.0,1.0,1.0
83,1.0,1.0,1.0
84,1.0,1.0,1.0
85,1.0,1.0,1.0
86,1.0,1.0,1.0
87,1.0,1.0,1.0
