K,Alpha,Accuracy,Precision,Recall,F1 score
21,0.50000,0.75152,0.74569,0.69238,0.70255
21,0.60000,0.74078,0.73280,0.67928,0.68854
21,0.80000,0.73619,0.72333,0.67663,0.68509
22,0.20000,0.73306,0.73172,0.66098,0.66760
22,0.40000,0.73773,0.73980,0.66652,0.67426
22,0.50000,0.73925,0.74060,0.66866,0.67675
22,0.60000,0.73771,0.73629,0.66841,0.67663
22,0.80000,0.74072,0.73895,0.67263,0.68129
23,0.20000,0.73466,0.72618,0.66982,0.67799
23,0.40000,0.73925,0.73254,0.67523,0.68393
23,0.50000,0.74232,0.73600,0.67953,0.68861
23,0.60000,0.74078,0.73362,0.67830,0.68696
23,0.80000,0.73775,0.72543,0.67879,0.68756
24,0.20000,0.72851,0.72418,0.65652,0.66285
24,0.40000,0.73005,0.72998,0.65584,0.66182
24,0.50000,0.73310,0.73466,0.65917,0.66581
24,0.60000,0.74385,0.74767,0.67322,0.68184
24,0.80000,0.74844,0.75070,0.68147,0.69138
25,0.20000,0.73163,0.72269,0.66562,0.67341
25,0.40000,0.73771,0.73367,0.67029,0.67860
25,0.50000,0.74386,0.74151,0.67795,0.68734
25,0.60000,0.74543,0.74198,0.68107,0.69061
25,0.80000,0.74541,0.73812,0.68477,0.69428
26,0.20000,0.73927,0.74843,0.66401,0.67145
26,0.40000,0.73312,0.73768,0.65733,0.66362
26,0.50000,0.73161,0.73294,0.65713,0.66340
26,0.60000,0.73619,0.73786,0.66351,0.67046
26,0.80000,0.73622,0.73431,0.66544,0.67267
27,0.20000,0.73626,0.73194,0.66920,0.67752
27,0.40000,0.73925,0.73630,0.67154,0.68016
27,0.50000,0.73769,0.73229,0.67123,0.67978
27,0.60000,0.73925,0.73284,0.67435,0.68307
27,0.80000,0.74242,0.73753,0.67781,0.68705
28,0.20000,0.73927,0.74536,0.66591,0.67357
28,0.40000,0.73310,0.73881,0.65639,0.66229
28,0.50000,0.73462,0.73575,0.66132,0.66809
28,0.60000,0.73924,0.74117,0.66774,0.67548
28,0.80000,0.74085,0.74428,0.66907,0.67678
29,0.20000,0.73773,0.73659,0.66847,0.67654
29,0.40000,0.73619,0.73143,0.66820,0.67612
29,0.50000,0.73310,0.72697,0.66484,0.67230
29,0.60000,0.73464,0.72711,0.66888,0.67687
29,0.80000,0.74085,0.73566,0.67564,0.68453
