K,Alpha,Accuracy,Precision,Recall,F1 score
21,0.50000,0.79444,0.76986,0.76185,0.76430
21,0.60000,0.79444,0.76986,0.76185,0.76430
21,0.80000,0.79817,0.77359,0.76781,0.76935
22,0.20000,0.79846,0.77364,0.76628,0.76806
22,0.40000,0.80598,0.78137,0.77620,0.77771
22,0.50000,0.79060,0.76535,0.76161,0.76201
22,0.60000,0.79060,0.76624,0.76161,0.76233
22,0.80000,0.79829,0.77323,0.76698,0.76842
23,0.20000,0.79071,0.76982,0.75456,0.75892
23,0.40000,0.79450,0.77381,0.76097,0.76433
23,0.50000,0.78681,0.76342,0.74931,0.75270
23,0.60000,0.78675,0.76246,0.74885,0.75190
23,0.80000,0.78687,0.76036,0.74903,0.75172
24,0.20000,0.79450,0.77353,0.76341,0.76581
24,0.40000,0.80592,0.78510,0.77602,0.77864
24,0.50000,0.79835,0.77541,0.76954,0.77118
24,0.60000,0.79456,0.77140,0.76185,0.76422
24,0.80000,0.79450,0.76998,0.76185,0.76365
25,0.20000,0.79450,0.77353,0.76341,0.76581
25,0.40000,0.80208,0.78054,0.76961,0.77267
25,0.50000,0.80202,0.78106,0.77205,0.77445
25,0.60000,0.79438,0.77228,0.76167,0.76374
25,0.80000,0.79433,0.77075,0.76167,0.76428
26,0.20000,0.78681,0.76151,0.75520,0.75618
26,0.40000,0.79835,0.77332,0.76454,0.76696
26,0.50000,0.80586,0.78309,0.77212,0.77492
26,0.60000,0.79823,0.77703,0.76564,0.76869
26,0.80000,0.79438,0.77210,0.76167,0.76378
27,0.20000,0.78302,0.76057,0.74879,0.75146
27,0.40000,0.79060,0.76885,0.75654,0.75898
27,0.50000,0.79444,0.77236,0.76051,0.76295
27,0.60000,0.79060,0.76885,0.75654,0.75898
27,0.80000,0.79823,0.77579,0.76564,0.76798
28,0.20000,0.78687,0.76443,0.75764,0.75682
28,0.40000,0.79071,0.76825,0.75789,0.75927
28,0.50000,0.79444,0.77086,0.76512,0.76457
28,0.60000,0.79817,0.77759,0.76891,0.76975
28,0.80000,0.80575,0.78374,0.77800,0.77929
29,0.20000,0.78296,0.76170,0.74745,0.74979
29,0.40000,0.79450,0.77577,0.75679,0.76155
29,0.50000,0.79450,0.77376,0.75679,0.76065
29,0.60000,0.79829,0.77821,0.76320,0.76733
29,0.80000,0.80581,0.78303,0.77184,0.77444
