K,Alpha,Accuracy,Precision,Recall,F1 score
21,0.50000,0.80948,0.78961,0.78640,0.78495
21,0.60000,0.80179,0.78043,0.77730,0.77679
21,0.80000,0.80948,0.78800,0.78396,0.78267
22,0.20000,0.79432,0.76997,0.77006,0.76606
22,0.40000,0.80575,0.78359,0.78423,0.78018
22,0.50000,0.80202,0.77779,0.77584,0.77454
22,0.60000,0.80202,0.77727,0.77584,0.77426
22,0.80000,0.79048,0.76536,0.76231,0.76030
23,0.20000,0.79806,0.77802,0.77169,0.77018
23,0.40000,0.80581,0.78565,0.77962,0.77867
23,0.50000,0.80185,0.77974,0.77602,0.77467
23,0.60000,0.80586,0.78551,0.78435,0.78256
23,0.80000,0.79060,0.76607,0.76115,0.75981
24,0.20000,0.79048,0.76540,0.76149,0.76035
24,0.40000,0.79438,0.76680,0.76808,0.76478
24,0.50000,0.79823,0.77267,0.77403,0.76964
24,0.60000,0.80202,0.77800,0.78172,0.77722
24,0.80000,0.79823,0.77378,0.77199,0.77179
25,0.20000,0.80190,0.77819,0.77538,0.77484
25,0.40000,0.81706,0.79818,0.79922,0.79630
25,0.50000,0.81338,0.79284,0.78955,0.78840
25,0.60000,0.80959,0.78736,0.78948,0.78638
25,0.80000,0.80185,0.77795,0.77242,0.77357
26,0.20000,0.80190,0.77679,0.77754,0.77504
26,0.40000,0.80959,0.78585,0.79036,0.78502
26,0.50000,0.81344,0.78966,0.79433,0.78963
26,0.60000,0.80586,0.78363,0.78353,0.78132
26,0.80000,0.80575,0.78535,0.78301,0.78220
27,0.20000,0.80190,0.77679,0.77754,0.77504
27,0.40000,0.81338,0.79059,0.79171,0.78860
27,0.50000,0.81333,0.79112,0.79543,0.79124
27,0.60000,0.80202,0.78017,0.78038,0.77780
27,0.80000,0.79433,0.77236,0.76005,0.76324
28,0.20000,0.79806,0.77145,0.77357,0.77013
28,0.40000,0.80575,0.78452,0.78551,0.78159
28,0.50000,0.81344,0.79106,0.79217,0.78943
28,0.60000,0.80954,0.79015,0.79058,0.78808
28,0.80000,0.80569,0.78438,0.78173,0.78191
29,0.20000,0.79048,0.76489,0.76493,0.76236
29,0.40000,0.80959,0.78725,0.78820,0.78482
29,0.50000,0.81344,0.79106,0.79217,0.78943
29,0.60000,0.81333,0.79247,0.79083,0.79025
29,0.80000,0.80202,0.78237,0.77333,0.77608
